Id,Student Name,Student Email,Listing Name,Created At,Completed At
297248897,Sophia Davis,sophia.davis@example.com,DCLDP - 2021,10/16/2012 11:53 AM,
297248897,Sophia Davis,sophia.davis@example.com,O-CYBER: CompTIA Security+ Prep Course for DCLDP (501),09/07/2012 01:45 PM,
297248897,Sophia Davis,sophia.davis@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,03/06/2016 12:12 AM,06/19/2019 06:52 AM
297248897,Sophia Davis,sophia.davis@example.com,O-CYBER: CompTIA Network+ Certificate Prep (N10-007),04/11/2009 05:02 PM,
642171178,Michael Jackson,michael.jackson@example.com,O-CYBER: CompTIA Security+ Certificate Prep (SY0-501),08/05/2015 08:19 PM,
642171178,Michael Jackson,michael.jackson@example.com,DCLDP - 2021,07/20/2016 07:50 PM,
642171178,Michael Jackson,michael.jackson@example.com,DCLDP - 2021,02/15/2008 06:11 PM,
642171178,Michael Jackson,michael.jackson@example.com,O-CYBER: CompTIA Security+ Prep Course for DCLDP (501),08/10/2012 04:38 AM,03/06/2015 04:52 PM
269070221,Jeffrey Thomas,jeffrey.thomas@example.com,O-CYBER: CompTIA Network+ Certificate Prep (N10-007),10/13/2008 11:45 AM,07/04/2015 05:05 PM
269070221,Jeffrey Thomas,jeffrey.thomas@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,01/15/2019 01:27 AM,
269070221,Jeffrey Thomas,jeffrey.thomas@example.com,DCLDP - 2021,01/07/2017 04:51 PM,12/05/2018 06:15 PM
269070221,Jeffrey Thomas,jeffrey.thomas@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,08/03/2013 10:08 PM,
114750889,Megan Hall,megan.hall@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,06/18/2008 12:09 AM,06/24/2019 12:37 AM
401589859,Walter White,walter.white@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,04/20/2014 01:12 AM,
875865949,Christine Anderson,christine.anderson@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,02/27/2015 06:43 PM,
875865949,Christine Anderson,christine.anderson@example.com,DCLDP - 2021,09/02/2012 07:07 AM,10/27/2012 02:58 AM
875865949,Christine Anderson,christine.anderson@example.com,O-CYBER: CompTIA Network+ Certificate Prep (N10-007),10/21/2011 08:58 AM,04/17/2015 07:21 AM
875865949,Christine Anderson,christine.anderson@example.com,O-CYBER: CompTIA Security+ Certificate Prep (SY0-501),07/22/2014 02:50 PM,01/17/2018 08:52 AM
822852767,Jacob Davis,jacob.davis@example.com,O-CYBER: CompTIA Network+ Certificate Prep (N10-007),02/23/2010 05:30 PM,
335360770,Martha Smith,martha.smith@example.com,O-CYBER: Cybersecurity Fundamentals for Teachers Summer Camp,07/11/2014 05:45 AM,04/02/2016 05:32 PM
